"fish" "day" "state" "sub"
"233" "33" 5 NA NA
"234" "34" 5 NA NA
"235" "35" 5 NA NA
"236" "36" 5 4 2
"237" "37" 5 NA NA
"238" "38" 5 NA NA
"239" "39" 5 NA NA
"240" "40" 5 5 2
"241" "41" 5 NA NA
"242" "42" 5 NA NA
"243" "43" 5 5 3
"244" "44" 5 6 1
"245" "45" 5 3 3
"246" "46" 5 NA NA
"247" "47" 5 NA NA
"248" "48" 5 NA NA
"249" "49" 5 NA NA
"250" "50" 5 NA NA
"251" "1" 6 7 2
"252" "2" 6 1 3
"253" "3" 6 NA NA
"254" "4" 6 NA NA
"255" "5" 6 NA NA
"256" "6" 6 7 2
"257" "7" 6 NA NA
"258" "8" 6 NA NA
"259" "9" 6 NA NA
"260" "10" 6 NA NA
"261" "11" 6 6 1
"262" "12" 6 7 2
"263" "13" 6 NA NA
"264" "14" 6 NA NA
"265" "15" 6 7 2
"266" "16" 6 NA NA
"267" "17" 6 NA NA
"268" "18" 6 NA NA
"269" "19" 6 NA NA
"270" "20" 6 NA NA
"271" "21" 6 NA NA
"272" "22" 6 NA NA
"273" "23" 6 NA NA
"274" "24" 6 NA NA
"275" "25" 6 NA NA
"276" "26" 6 NA NA
"277" "27" 6 NA NA
"278" "28" 6 5 2
"279" "29" 6 NA NA
"280" "30" 6 NA NA
"281" "31" 6 NA NA
"282" "32" 6 NA NA
"283" "33" 6 NA NA
"284" "34" 6 NA NA
"285" "35" 6 NA NA
"286" "36" 6 NA NA
"287" "37" 6 NA NA
"288" "38" 6 NA NA
"289" "39" 6 NA NA
"290" "40" 6 6 3
"291" "41" 6 NA NA
"292" "42" 6 NA NA
"293" "43" 6 NA NA
"294" "44" 6 6 3
"295" "45" 6 NA NA
"296" "46" 6 8 3
"297" "47" 6 NA NA
"298" "48" 6 3 2
"299" "49" 6 NA NA
"300" "50" 6 NA NA
"301" "1" 7 NA NA
"302" "2" 7 NA NA
"303" "3" 7 8 3
"304" "4" 7 NA NA
"305" "5" 7 6 3
"306" "6" 7 NA NA
"307" "7" 7 NA NA
"308" "8" 7 6 1
"309" "9" 7 7 2
"310" "10" 7 NA NA
"311" "11" 7 NA NA
"312" "12" 7 NA NA
"313" "13" 7 NA NA
"314" "14" 7 NA NA
"315" "15" 7 NA NA
"316" "16" 7 NA NA
"317" "17" 7 NA NA
"318" "18" 7 NA NA
"319" "19" 7 NA NA
"320" "20" 7 NA NA
"321" "21" 7 NA NA
"322" "22" 7 6 3
"323" "23" 7 NA NA
"324" "24" 7 NA NA
"325" "25" 7 NA NA
"326" "26" 7 6 1
"327" "27" 7 6 1
"328" "28" 7 NA NA
"329" "29" 7 NA NA
"330" "30" 7 9 3
"331" "31" 7 NA NA
"332" "32" 7 NA NA
"333" "33" 7 NA NA
"334" "34" 7 NA NA
"335" "35" 7 NA NA
"336" "36" 7 NA NA
"337" "37" 7 5 3
"338" "38" 7 NA NA
"339" "39" 7 NA NA
"340" "40" 7 6 3
"341" "41" 7 7 2
"342" "42" 7 6 1
"343" "43" 7 7 2
"344" "44" 7 NA NA
"345" "45" 7 7 2
"346" "46" 7 NA NA
"347" "47" 7 8 1
"348" "48" 7 3 3
"349" "49" 7 NA NA
"350" "50" 7 6 3
"351" "1" 8 NA NA
"352" "2" 8 NA NA
"353" "3" 8 NA NA
"354" "4" 8 9 3
"355" "5" 8 NA NA
"356" "6" 8 NA NA
"357" "7" 8 NA NA
"358" "8" 8 NA NA
"359" "9" 8 NA NA
"360" "10" 8 6 1
"361" "11" 8 NA NA
"362" "12" 8 NA NA
"363" "13" 8 NA NA
"364" "14" 8 NA NA
"365" "15" 8 NA NA
"366" "16" 8 7 1
"367" "17" 8 8 1
"368" "18" 8 NA NA
"369" "19" 8 NA NA
"370" "20" 8 NA NA
"371" "21" 8 7 2
"372" "22" 8 NA NA
"373" "23" 8 NA NA
"374" "24" 8 NA NA
"375" "25" 8 NA NA
"376" "26" 8 6 1
"377" "27" 8 NA NA
"378" "28" 8 NA NA
"379" "29" 8 NA NA
"380" "30" 8 9 2
"381" "31" 8 NA NA
"382" "32" 8 6 3
"383" "33" 8 NA NA
"384" "34" 8 NA NA
"385" "35" 8 NA NA
"386" "36" 8 7 2
"387" "37" 8 NA NA
"388" "38" 8 NA NA
"389" "39" 8 NA NA
"390" "40" 8 6 1
"391" "41" 8 NA NA
"392" "42" 8 7 2
"393" "43" 8 NA NA
"394" "44" 8 NA NA
"395" "45" 8 7 2
"396" "46" 8 NA NA
"397" "47" 8 8 1
"398" "48" 8 NA NA
"399" "49" 8 NA NA
"400" "50" 8 6 3
"401" "1" 9 NA NA
"402" "2" 9 1 3
"403" "3" 9 NA NA
"404" "4" 9 9 3
"405" "5" 9 7 2
"406" "6" 9 NA NA
"407" "7" 9 NA NA
"408" "8" 9 6 1
"409" "9" 9 NA NA
"410" "10" 9 NA NA
"411" "11" 9 6 1
"412" "12" 9 NA NA
"413" "13" 9 NA NA
"414" "14" 9 10 1
"415" "15" 9 NA NA
"416" "16" 9 7 2
"417" "17" 9 NA NA
"418" "18" 9 6 1
"419" "19" 9 9 3
"420" "20" 9 NA NA
"421" "21" 9 NA NA
"422" "22" 9 NA NA
"423" "23" 9 2 3
"424" "24" 9 7 2
"425" "25" 9 NA NA
"426" "26" 9 6 3
"427" "27" 9 NA NA
"428" "28" 9 8 3
"429" "29" 9 NA NA
"430" "30" 9 9 3
"431" "31" 9 6 2
"432" "32" 9 NA NA
"433" "33" 9 NA NA
"434" "34" 9 NA NA
"435" "35" 9 NA NA
"436" "36" 9 NA NA
"437" "37" 9 NA NA
"438" "38" 9 7 2
"439" "39" 9 NA NA
"440" "40" 9 6 3
"441" "41" 9 NA NA
"442" "42" 9 8 3
"443" "43" 9 NA NA
"444" "44" 9 NA NA
"445" "45" 9 7 2
"446" "46" 9 NA NA
"447" "47" 9 NA NA
"448" "48" 9 NA NA
"449" "49" 9 2 3
"450" "50" 9 NA NA
"451" "1" 10 NA NA
"452" "2" 10 NA NA
"453" "3" 10 NA NA
"454" "4" 10 9 2
"455" "5" 10 NA NA
"456" "6" 10 NA NA
"457" "7" 10 NA NA
"458" "8" 10 NA NA
"459" "9" 10 7 2
"460" "10" 10 6 3
"461" "11" 10 NA NA
"462" "12" 10 NA NA
"463" "13" 10 NA NA
"464" "14" 10 10 1
"465" "15" 10 NA NA
"466" "16" 10 NA NA
"467" "17" 10 NA NA
"468" "18" 10 NA NA
"469" "19" 10 9 3
"470" "20" 10 NA NA
"471" "21" 10 NA NA
"472" "22" 10 NA NA
"473" "23" 10 NA NA
"474" "24" 10 NA NA
"475" "25" 10 NA NA
"476" "26" 10 NA NA
"477" "27" 10 NA NA
"478" "28" 10 9 1
"479" "29" 10 6 1
"480" "30" 10 NA NA
"481" "31" 10 7 2
"482" "32" 10 NA NA
"483" "33" 10 7 2
"484" "34" 10 NA NA
"485" "35" 10 NA NA
"486" "36" 10 NA NA
"487" "37" 10 NA NA
"488" "38" 10 7 2
"489" "39" 10 NA NA
"490" "40" 10 NA NA
"491" "41" 10 NA NA
"492" "42" 10 NA NA
"493" "43" 10 7 2
"494" "44" 10 NA NA
"495" "45" 10 NA NA
"496" "46" 10 NA NA
"497" "47" 10 8 1
"498" "48" 10 NA NA
"499" "49" 10 2 3
"500" "50" 10 6 1
"501" "1" 11 NA NA
"502" "2" 11 NA NA
"503" "3" 11 NA NA
"504" "4" 11 NA NA
"505" "5" 11 NA NA
"506" "6" 11 NA NA
"507" "7" 11 NA NA
"508" "8" 11 NA NA
"509" "9" 11 NA NA
"510" "10" 11 NA NA
"511" "11" 11 NA NA
"512" "12" 11 NA NA
"513" "13" 11 NA NA
"514" "14" 11 NA NA
"515" "15" 11 7 2
"516" "16" 11 NA NA
"517" "17" 11 NA NA
"518" "18" 11 NA NA
"519" "19" 11 10 3
"520" "20" 11 6 1
"521" "21" 11 7 2
"522" "22" 11 7 2
"523" "23" 11 NA NA
"524" "24" 11 NA NA
"525" "25" 11 7 2
"526" "26" 11 6 3
"527" "27" 11 NA NA
"528" "28" 11 NA NA
"529" "29" 11 NA NA
"530" "30" 11 NA NA
"531" "31" 11 7 2
"532" "32" 11 2 3
"533" "33" 11 NA NA
"534" "34" 11 10 3
"535" "35" 11 NA NA
"536" "36" 11 NA NA
"537" "37" 11 NA NA
"538" "38" 11 7 2
"539" "39" 11 7 2
"540" "40" 11 NA NA
"541" "41" 11 NA NA
"542" "42" 11 NA NA
"543" "43" 11 7 1
"544" "44" 11 NA NA
"545" "45" 11 NA NA
"546" "46" 11 10 2
"547" "47" 11 NA NA
"548" "48" 11 NA NA
"549" "49" 11 NA NA
"550" "50" 11 NA NA
"551" "1" 12 NA NA
"552" "2" 12 NA NA
"553" "3" 12 NA NA
"554" "4" 12 NA NA
"555" "5" 12 NA NA
"556" "6" 12 NA NA
"557" "7" 12 8 1
"558" "8" 12 7 2
"559" "9" 12 8 2
"560" "10" 12 NA NA
"561" "11" 12 NA NA
"562" "12" 12 NA NA
"563" "13" 12 9 3
"564" "14" 12 10 1
"565" "15" 12 7 2
"566" "16" 12 7 2
"567" "17" 12 9 3
"568" "18" 12 NA NA
"569" "19" 12 NA NA
"570" "20" 12 NA NA
"571" "21" 12 NA NA
"572" "22" 12 7 2
"573" "23" 12 NA NA
"574" "24" 12 7 2
"575" "25" 12 7 2
"576" "26" 12 NA NA
"577" "27" 12 NA NA
"578" "28" 12 10 1
"579" "29" 12 NA NA
"580" "30" 12 NA NA
"581" "31" 12 NA NA
"582" "32" 12 NA NA
"583" "33" 12 NA NA
"584" "34" 12 10 1
"585" "35" 12 NA NA
"586" "36" 12 9 1
"587" "37" 12 NA NA
"588" "38" 12 7 2
"589" "39" 12 NA NA
"590" "40" 12 NA NA
"591" "41" 12 7 2
"592" "42" 12 NA NA
"593" "43" 12 NA NA
"594" "44" 12 6 1
"595" "45" 12 NA NA
"596" "46" 12 NA NA
"597" "47" 12 NA NA
"598" "48" 12 NA NA
"599" "49" 12 NA NA
"600" "50" 12 NA NA
"601" "1" 13 NA NA
"602" "2" 13 NA NA
"603" "3" 13 NA NA
"604" "4" 13 NA NA
"605" "5" 13 NA NA
"606" "6" 13 NA NA
"607" "7" 13 NA NA
"608" "8" 13 NA NA
"609" "9" 13 NA NA
"610" "10" 13 NA NA
"611" "11" 13 NA NA
"612" "12" 13 NA NA
"613" "13" 13 NA NA
"614" "14" 13 NA NA
"615" "15" 13 8 3
"616" "16" 13 NA NA
"617" "17" 13 9 3
"618" "18" 13 NA NA
"619" "19" 13 NA NA
"620" "20" 13 NA NA
"621" "21" 13 7 2
"622" "22" 13 7 2
"623" "23" 13 1 3
"624" "24" 13 NA NA
"625" "25" 13 NA NA
"626" "26" 13 NA NA
"627" "27" 13 NA NA
"628" "28" 13 10 1
"629" "29" 13 NA NA
"630" "30" 13 NA NA
"631" "31" 13 NA NA
"632" "32" 13 NA NA
"633" "33" 13 NA NA
"634" "34" 13 NA NA
"635" "35" 13 10 1
"636" "36" 13 NA NA
"637" "37" 13 7 2
"638" "38" 13 7 2
"639" "39" 13 7 2
"640" "40" 13 NA NA
"641" "41" 13 NA NA
"642" "42" 13 NA NA
"643" "43" 13 7 1
"644" "44" 13 NA NA
"645" "45" 13 7 2
"646" "46" 13 NA NA
"647" "47" 13 NA NA
"648" "48" 13 NA NA
"649" "49" 13 NA NA
"650" "50" 13 NA NA
"651" "1" 14 NA NA
"652" "2" 14 NA NA
"653" "3" 14 NA NA
"654" "4" 14 NA NA
"655" "5" 14 NA NA
"656" "6" 14 NA NA
"657" "7" 14 NA NA
"658" "8" 14 NA NA
"659" "9" 14 9 3
"660" "10" 14 6 1
"661" "11" 14 6 3
"662" "12" 14 NA NA
"663" "13" 14 NA NA
"664" "14" 14 NA NA
"665" "15" 14 NA NA
"666" "16" 14 NA NA
"667" "17" 14 NA NA
"668" "18" 14 NA NA
"669" "19" 14 10 1
"670" "20" 14 6 3
"671" "21" 14 7 2
"672" "22" 14 NA NA
"673" "23" 14 1 1
"674" "24" 14 7 2
"675" "25" 14 NA NA
"676" "26" 14 NA NA
"677" "27" 14 9 3
"678" "28" 14 10 1
"679" "29" 14 NA NA
"680" "30" 14 NA NA
"681" "31" 14 NA NA
"682" "32" 14 NA NA
"683" "33" 14 NA NA
"684" "34" 14 NA NA
"685" "35" 14 NA NA
"686" "36" 14 NA NA
"687" "37" 14 NA NA
"688" "38" 14 NA NA
"689" "39" 14 NA NA
"690" "40" 14 NA NA
"691" "41" 14 NA NA
"692" "42" 14 NA NA
"693" "43" 14 7 2
"694" "44" 14 6 1
"695" "45" 14 NA NA
"696" "46" 14 NA NA
"697" "47" 14 NA NA
"698" "48" 14 NA NA
"699" "49" 14 1 3
"700" "50" 14 NA NA
"701" "1" 15 7 2
"702" "2" 15 NA NA
"703" "3" 15 10 3
"704" "4" 15 NA NA
"705" "5" 15 10 3
"706" "6" 15 10 1
"707" "7" 15 9 1
"708" "8" 15 NA NA
"709" "9" 15 NA NA
"710" "10" 15 NA NA
"711" "11" 15 NA NA
"712" "12" 15 10 1
"713" "13" 15 NA NA
"714" "14" 15 10 3
"715" "15" 15 NA NA
"716" "16" 15 8 1
"717" "17" 15 NA NA
"718" "18" 15 NA NA
"719" "19" 15 10 3
"720" "20" 15 6 1
"721" "21" 15 NA NA
"722" "22" 15 NA NA
"723" "23" 15 NA NA
"724" "24" 15 NA NA
"725" "25" 15 7 2
"726" "26" 15 NA NA
"727" "27" 15 NA NA
"728" "28" 15 10 1
"729" "29" 15 NA NA
"730" "30" 15 NA NA
"731" "31" 15 NA NA
"732" "32" 15 NA NA
"733" "33" 15 NA NA
"734" "34" 15 NA NA
"735" "35" 15 NA NA
"736" "36" 15 NA NA
"737" "37" 15 NA NA
"738" "38" 15 7 2
"739" "39" 15 NA NA
"740" "40" 15 6 1
"741" "41" 15 NA NA
"742" "42" 15 1 2
"743" "43" 15 NA NA
"744" "44" 15 NA NA
"745" "45" 15 NA NA
"746" "46" 15 NA NA
"747" "47" 15 NA NA
"748" "48" 15 NA NA
"749" "49" 15 1 3
"750" "50" 15 NA NA
"751" "1" 16 7 2
"752" "2" 16 NA NA
"753" "3" 16 10 1
"754" "4" 16 10 3
"755" "5" 16 NA NA
"756" "6" 16 NA NA
"757" "7" 16 NA NA
"758" "8" 16 NA NA
"759" "9" 16 NA NA
"760" "10" 16 NA NA
"761" "11" 16 NA NA
"762" "12" 16 NA NA
"763" "13" 16 NA NA
"764" "14" 16 10 1
"765" "15" 16 NA NA
"766" "16" 16 NA NA
"767" "17" 16 NA NA
"768" "18" 16 NA NA
"769" "19" 16 NA NA
"770" "20" 16 NA NA
"771" "21" 16 7 1
"772" "22" 16 NA NA
"773" "23" 16 1 1
"774" "24" 16 NA NA
"775" "25" 16 7 2
"776" "26" 16 NA NA
"777" "27" 16 NA NA
"778" "28" 16 10 1
"779" "29" 16 NA NA
"780" "30" 16 NA NA
"781" "31" 16 NA NA
"782" "32" 16 NA NA
"783" "33" 16 10 1
"784" "34" 16 NA NA
"785" "35" 16 NA NA
"786" "36" 16 NA NA
"787" "37" 16 NA NA
"788" "38" 16 NA NA
"789" "39" 16 7 2
"790" "40" 16 NA NA
"791" "41" 16 NA NA
"792" "42" 16 1 3
"793" "43" 16 7 2
"794" "44" 16 NA NA
